n_components,HR10_mean,HR10_std,NDCG10_mean,NDCG10_std,num_parameters
1,0.36267232237539765,0.0,0.19022937653271232,0.0,2625
6,0.5864262990455992,0.0,0.32403166159223556,0.0,15750
11,0.6159066808059385,0.0008364906020642802,0.347237148067798,0.0005855933727975153,28875
16,0.6348886532343585,0.0033178366999667397,0.3633471669466675,0.0009254578870343731,42000
21,0.6302226935312831,0.006061980915792774,0.3637161048647465,0.0027136425204835413,55125
26,0.6348886532343584,0.004610194086804712,0.3679171074709813,0.0031952227522155986,68250
