technique,HR10_mean,HR10_std,NDCG10_mean,NDCG10_std,num_parameters,param_reduction_pct
feature,0.5815482556819915,0.016953869439916988,0.3301684610447599,0.011768685512009842,53177,50.65
relation,0.6295864164829255,0.014015452734336138,0.3642939540691335,0.007879676010717727,53177,50.65
response,0.6550371170043945,0.009834803194593652,0.3782560564379265,0.007023238536130194,53177,50.65
teacher,0.6490986227989197,0.011093365962169064,0.3902472064156691,0.007202071800939206,107761,0.0
