method,HR@10 mean,HR@10 std,NDCG@10 mean,NDCG@10 std,num_parameters
"NeuMF (layers=3, no pretrain)",0.6490986227989197,0.010524091007471864,0.39024720641566907,0.0068324852289116085,107761
NMF (k=26),0.6348886532343584,0.004373614130922859,0.3679171074709812,0.0030312544585779197,68250
