num_negatives,seed,HR@10,NDCG@10,elapsed_sec
1,0,0.629904568195343,0.3562667655160205,46.39647364616394
1,1,0.6320254802703857,0.36535590901582726,44.68302655220032
1,2,0.6362672448158264,0.36975529267263824,45.08480906486511
1,3,0.6468716859817505,0.36248763689469965,44.92435073852539
1,4,0.6511134505271912,0.37460937481069523,44.96642208099365
1,5,0.6489925980567932,0.3640329263295201,45.025211572647095
1,6,0.6500530242919922,0.3598725169362024,45.01574516296387
1,7,0.6341463327407837,0.3526337255026628,45.13675284385681
1,8,0.6320254802703857,0.3600850460021364,45.051230907440186
1,9,0.6267232298851013,0.35849202936294927,45.16464400291443
2,0,0.6235418915748596,0.3707081534565507,67.62405848503113
2,1,0.6691410541534424,0.3926297417655879,67.33211970329285
2,2,0.6267232298851013,0.37209392019714893,66.99249601364136
2,3,0.6436903476715088,0.3728147920456021,67.48031735420227
2,4,0.6415694355964661,0.37351371097443253,67.88363075256348
2,5,0.6479321122169495,0.37972658608006915,68.57858276367188
2,6,0.6468716859817505,0.3703395987231946,68.71846985816956
2,7,0.6532343626022339,0.3871760739312349,68.12873387336731
2,8,0.6532343626022339,0.3714091056248428,68.3175196647644
2,9,0.6468716859817505,0.3756563094403906,68.4964919090271
3,0,0.6352067589759827,0.37781593151577225,91.68727350234985
3,1,0.6468716859817505,0.37980223118834405,91.06637454032898
3,2,0.6564157009124756,0.38437941552987626,90.78735375404358
3,3,0.6447507739067078,0.3787933584828512,91.5573136806488
3,4,0.6426299214363098,0.3865838992899534,92.15069890022278
3,5,0.6648992300033569,0.38971906901726744,91.29925632476807
3,6,0.6383880972862244,0.3770589529873284,91.63373398780823
3,7,0.6521739363670349,0.38809875325042936,90.11849284172058
3,8,0.6479321122169495,0.39105135966259125,90.13477849960327
3,9,0.6723223924636841,0.3870941595036346,90.33713746070862
4,0,0.6394485831260681,0.3807410396823393,113.5922601222992
4,1,0.6532343626022339,0.38918371220465825,113.70019793510437
4,2,0.6564157009124756,0.3831521736374577,113.61215019226074
4,3,0.6415694355964661,0.39200418775961626,114.47481060028076
4,4,0.6436903476715088,0.3898995810730456,113.61472749710083
4,5,0.6723223924636841,0.3961811854272119,113.66948556900024
4,6,0.6511134505271912,0.3972477389001349,114.17499947547913
4,7,0.6447507739067078,0.3848888961992643,114.3410496711731
4,8,0.6330859065055847,0.38533506543894297,115.79601192474365
4,9,0.6553552746772766,0.40383848383402,114.64406418800354
5,0,0.6235418915748596,0.38960166574274535,135.0218963623047
5,1,0.6394485831260681,0.3929206024043416,136.65393829345703
5,2,0.6532343626022339,0.39831481918442724,135.4690339565277
5,3,0.6574761271476746,0.4041906038351465,136.69893097877502
5,4,0.6489925980567932,0.4005068548597905,138.04023551940918
5,5,0.6511134505271912,0.38767575084425127,136.2287838459015
5,6,0.6648992300033569,0.40889726249994623,136.84795475006104
5,7,0.6468716859817505,0.38941111159038166,135.26479387283325
5,8,0.6511134505271912,0.3895608082345013,135.7175498008728
5,9,0.6447507739067078,0.39249331493052353,134.74149894714355
6,0,0.6521739363670349,0.3942937159089203,157.66664791107178
6,1,0.629904568195343,0.38380811361889283,157.11441159248352
6,2,0.6595970392227173,0.4112167000579574,158.2517867088318
6,3,0.6606574654579163,0.4020203706163144,159.47696709632874
6,4,0.6489925980567932,0.40031419899475695,160.4731206893921
6,5,0.662778377532959,0.40168878711879374,160.44440627098083
6,6,0.6564157009124756,0.4040414164422246,158.70451521873474
6,7,0.6595970392227173,0.40437887664555616,159.19896936416626
6,8,0.6426299214363098,0.3928546247147057,157.73963499069214
6,9,0.6553552746772766,0.40012038734418864,157.06024861335754
7,0,0.6341463327407837,0.3794294708186501,183.5559959411621
7,1,0.6564157009124756,0.4118193000110406,182.7602732181549
7,2,0.6595970392227173,0.4035016172149402,181.92508721351624
7,3,0.6585366129875183,0.4033638746459324,182.6547713279724
7,4,0.6680805683135986,0.4048170922016463,182.41854906082153
7,5,0.6479321122169495,0.38771952877189514,182.67325067520142
7,6,0.6521739363670349,0.40173456800634727,181.8147485256195
7,7,0.6489925980567932,0.3969107032580913,182.96247053146362
7,8,0.6394485831260681,0.3970665618501798,181.48574137687683
7,9,0.6405090093612671,0.3904584501138818,181.54932761192322
8,0,0.6489925980567932,0.3968602275903615,207.52146220207214
8,1,0.6458112597465515,0.40259699442381924,206.32267308235168
8,2,0.6405090093612671,0.3970757186458282,204.76202058792114
8,3,0.6341463327407837,0.39486499226212884,202.21768379211426
8,4,0.629904568195343,0.39552411281854166,202.9433310031891
8,5,0.6553552746772766,0.3982835481562442,203.45452785491943
8,6,0.6468716859817505,0.39776241334134244,202.92247366905212
8,7,0.6436903476715088,0.400301219577785,205.02865552902222
8,8,0.6500530242919922,0.39459270822041664,206.24926733970642
8,9,0.6479321122169495,0.399601308362143,206.9691183567047
